angleLH,angleRH,angleLL,angleRL,percentage,bar
239,68,98,92,0.0,668.0
241,69,100,87,0.0,668.0
237,68,103,101,0.0,668.0
237,71,97,92,0.0,668.0
239,71,99,98,0.0,668.0
239,68,100,95,0.0,668.0
244,69,100,103,0.0,668.0
237,71,92,95,0.0,668.0
238,69,103,97,0.0,668.0
237,70,101,93,0.0,668.0
243,70,98,93,0.0,668.0
239,71,94,92,0.0,668.0
238,70,98,97,0.0,668.0
240,72,95,93,0.0,668.0
231,66,100,87,0.0,668.0
240,70,98,102,0.0,668.0
238,69,101,93,0.0,668.0
235,65,99,95,0.0,668.0
240,71,96,96,0.0,668.0
231,66,98,101,0.0,668.0
233,67,99,93,0.0,668.0
233,69,97,96,0.0,668.0
241,71,100,96,0.0,668.0
246,71,99,105,0.0,668.0
234,69,96,87,0.0,668.0
233,70,96,97,0.0,668.0
230,71,99,104,0.0,668.0
236,68,98,110,0.0,668.0
234,64,99,104,0.0,668.0
241,68,101,114,0.0,668.0
233,67,100,116,0.0,668.0
232,69,97,110,0.0,668.0
224,70,95,116,0.0,668.0
228,68,99,122,0.0,668.0
229,71,102,123,0.0,668.0
224,68,101,110,0.0,668.0
232,68,101,117,0.0,668.0
228,68,101,109,0.0,668.0
230,67,100,111,0.0,668.0
224,69,99,117,0.0,668.0
231,68,99,116,0.0,668.0
236,69,103,119,0.0,668.0
232,68,97,105,0.0,668.0
234,67,94,104,0.0,668.0
228,67,99,114,0.0,668.0
230,67,96,101,0.0,668.0
235,69,99,132,0.0,668.0
226,66,101,108,0.0,668.0
231,64,97,106,0.0,668.0
224,65,105,110,0.0,668.0
225,65,105,111,0.0,668.0
232,63,97,98,0.0,668.0
231,63,97,100,0.0,668.0
225,66,103,109,0.0,668.0
231,67,104,114,0.0,668.0
239,60,100,98,0.0,668.0
239,63,97,113,0.0,668.0
229,65,98,100,0.0,668.0
237,64,96,97,0.0,668.0
233,62,97,99,0.0,668.0
238,60,100,98,0.0,668.0
235,67,99,112,0.0,668.0
238,62,95,96,0.0,668.0
234,63,101,107,0.0,668.0
230,65,99,103,0.0,668.0
237,63,98,100,0.0,668.0
235,63,98,99,0.0,668.0
237,63,98,92,0.0,668.0
234,67,96,102,0.0,668.0
242,66,101,108,0.0,668.0
235,65,96,98,0.0,668.0
225,66,98,106,0.0,668.0
241,65,96,104,0.0,668.0
247,66,98,94,0.0,668.0
230,68,101,102,0.0,668.0
233,68,98,106,0.0,668.0
228,65,98,96,0.0,668.0
233,65,100,98,0.0,668.0
229,68,100,106,0.0,668.0
234,68,94,100,0.0,668.0
234,69,99,109,0.0,668.0
229,66,104,108,0.0,668.0
234,68,99,104,0.0,668.0
235,65,101,95,0.0,668.0
232,68,100,93,0.0,668.0
233,67,98,95,0.0,668.0
243,62,92,83,0.0,668.0
232,69,104,108,0.0,668.0
235,65,97,86,0.0,668.0
234,68,105,109,0.0,668.0
239,64,98,96,0.0,668.0
232,67,99,99,0.0,668.0
236,68,99,100,0.0,668.0
233,68,103,103,0.0,668.0
234,69,98,103,0.0,668.0
235,68,100,104,0.0,668.0
236,65,95,94,0.0,668.0
227,68,101,109,0.0,668.0
246,61,94,87,0.0,668.0
237,64,97,94,0.0,668.0
232,67,101,102,0.0,668.0
236,66,94,95,0.0,668.0
234,65,97,93,0.0,668.0
234,65,102,100,0.0,668.0
236,69,99,104,0.0,668.0
224,70,104,121,0.0,668.0
234,68,101,106,0.0,668.0
236,70,103,109,0.0,668.0
237,69,100,106,0.0,668.0
236,69,98,100,0.0,668.0
246,69,96,90,0.0,668.0
232,70,98,98,0.0,668.0
233,69,102,95,0.0,668.0
233,70,97,92,0.0,668.0
226,70,98,100,0.0,668.0
223,67,103,96,0.0,668.0
231,65,96,81,0.0,668.0
225,67,100,99,0.0,668.0
227,69,96,99,0.0,668.0
226,70,103,108,0.0,668.0
225,68,101,102,0.0,668.0
231,68,100,100,0.0,668.0
228,65,101,101,0.0,668.0
228,65,101,101,0.0,668.0
225,65,98,97,0.0,668.0
232,62,102,97,0.0,668.0
224,66,99,98,0.0,668.0
234,65,98,98,0.0,668.0
224,60,100,89,0.0,668.0
224,64,102,99,0.0,668.0
228,65,101,99,0.0,668.0
224,68,99,109,0.0,668.0
236,59,102,91,0.0,668.0
233,65,97,104,0.0,668.0
235,68,101,113,0.0,668.0
227,65,100,100,0.0,668.0
228,67,101,111,0.0,668.0
225,67,102,111,0.0,668.0
226,67,100,105,0.0,668.0
228,64,102,104,0.0,668.0
227,66,101,105,0.0,668.0
233,65,99,100,0.0,668.0
232,62,101,96,0.0,668.0
227,66,100,112,0.0,668.0
228,67,96,110,0.0,668.0
229,67,95,99,0.0,668.0
228,65,100,104,0.0,668.0
228,60,97,94,0.0,668.0
225,69,100,120,0.0,668.0
240,67,99,108,0.0,668.0
229,63,100,109,0.0,668.0
226,64,103,103,0.0,668.0
225,65,101,110,0.0,668.0
234,65,97,108,0.0,668.0
234,62,97,99,0.0,668.0
234,68,100,118,0.0,668.0
231,65,100,111,0.0,668.0
229,60,97,86,0.0,668.0
225,64,98,94,0.0,668.0
225,64,101,102,0.0,668.0
222,68,102,121,0.0,668.0
224,60,99,93,0.0,668.0
233,62,99,93,0.0,668.0
228,65,103,107,0.0,668.0
218,68,104,115,0.0,668.0
221,65,99,98,0.0,668.0
232,61,96,97,0.0,668.0
231,58,96,90,0.0,668.0
223,61,102,94,0.0,668.0
229,66,100,108,0.0,668.0
233,60,99,91,0.0,668.0
227,60,97,94,0.0,668.0
230,64,99,104,0.0,668.0
228,63,99,98,0.0,668.0
221,64,101,103,0.0,668.0
223,65,97,102,0.0,668.0
236,64,97,97,0.0,668.0
235,66,98,94,0.0,668.0
235,62,100,95,0.0,668.0
268,61,102,91,0.0,668.0
229,65,96,101,0.0,668.0
223,64,102,107,0.0,668.0
230,65,96,100,0.0,668.0
224,70,104,122,0.0,668.0
234,64,100,104,0.0,668.0
225,63,100,101,0.0,668.0
231,62,98,95,0.0,668.0
235,63,101,102,0.0,668.0
240,64,101,103,0.0,668.0
228,64,98,100,0.0,668.0
229,64,101,106,0.0,668.0
229,62,92,93,0.0,668.0
235,64,95,99,0.0,668.0
228,64,99,100,0.0,668.0
223,66,100,110,0.0,668.0
233,59,98,85,0.0,668.0
226,63,99,93,0.0,668.0
235,64,101,95,0.0,668.0
222,65,103,96,0.0,668.0
229,65,100,102,0.0,668.0
225,66,99,101,0.0,668.0
231,64,100,105,0.0,668.0
231,65,97,94,0.0,668.0
228,63,102,100,0.0,668.0
226,63,99,96,0.0,668.0
219,64,102,109,0.0,668.0
228,66,100,112,0.0,668.0
217,65,103,97,0.0,668.0
227,67,101,110,0.0,668.0
226,65,98,99,0.0,668.0
223,64,100,100,0.0,668.0
226,63,99,92,0.0,668.0
230,66,99,101,0.0,668.0
239,65,96,95,0.0,668.0
235,66,95,100,0.0,668.0
239,64,97,97,0.0,668.0
229,64,101,99,0.0,668.0
231,62,99,93,0.0,668.0
232,65,99,100,0.0,668.0
229,68,100,112,0.0,668.0
228,65,101,105,0.0,668.0
230,65,102,106,0.0,668.0
230,65,102,103,0.0,668.0
232,62,95,87,0.0,668.0
223,64,100,100,0.0,668.0
234,64,97,100,0.0,668.0
230,63,101,98,0.0,668.0
243,59,95,87,0.0,668.0
230,63,97,96,0.0,668.0
231,62,99,95,0.0,668.0
230,66,98,108,0.0,668.0
232,63,97,95,0.0,668.0
234,65,97,96,0.0,668.0
231,66,96,108,0.0,668.0
225,63,95,91,0.0,668.0
228,66,103,116,0.0,668.0
230,64,101,103,0.0,668.0
222,66,100,115,0.0,668.0
226,62,102,113,0.0,668.0
226,59,100,109,0.0,668.0
233,61,102,113,0.0,668.0
227,59,104,117,0.0,668.0
226,64,102,112,0.0,668.0
229,62,104,120,0.0,668.0
227,62,101,116,0.0,668.0
226,62,99,103,0.0,668.0
233,62,102,115,0.0,668.0
223,62,105,118,0.0,668.0
225,63,107,123,0.0,668.0
225,63,106,122,0.0,668.0
223,63,106,125,0.0,668.0
223,61,108,122,0.0,668.0
223,64,105,126,0.0,668.0
214,56,105,100,0.0,668.0
217,63,106,121,0.0,668.0
222,62,106,128,0.0,668.0
218,61,107,116,0.0,668.0
222,65,110,129,0.0,668.0
223,63,106,122,0.0,668.0
233,58,104,106,0.0,668.0
222,58,104,104,0.0,668.0
223,60,105,111,0.0,668.0
221,62,104,119,0.0,668.0
222,58,104,111,0.0,668.0
232,65,102,131,0.0,668.0
219,61,107,115,0.0,668.0
225,57,100,99,0.0,668.0
221,64,103,126,0.0,668.0
228,59,106,115,0.0,668.0
219,61,108,124,0.0,668.0
223,64,108,130,0.0,668.0
234,62,106,131,0.0,668.0
233,62,103,114,0.0,668.0
231,61,102,114,0.0,668.0
228,64,108,129,0.0,668.0
229,62,105,124,0.0,668.0
230,63,104,123,0.0,668.0
233,63,104,124,0.0,668.0
224,64,108,126,0.0,668.0
226,65,105,134,0.0,668.0
233,64,104,116,0.0,668.0
227,64,107,129,0.0,668.0
228,62,101,110,0.0,668.0
227,63,105,132,0.0,668.0
229,64,104,127,0.0,668.0
234,62,102,118,0.0,668.0
231,63,101,123,0.0,668.0
228,64,105,134,0.0,668.0
228,65,107,135,0.0,668.0
224,63,107,126,0.0,668.0
235,63,102,122,0.0,668.0
228,65,106,135,0.0,668.0
232,61,104,115,0.0,668.0
227,64,107,128,0.0,668.0
225,64,105,129,0.0,668.0
231,63,106,133,0.0,668.0
224,61,108,118,0.0,668.0
221,63,107,117,0.0,668.0
237,63,106,125,0.0,668.0
233,60,101,110,0.0,668.0
227,65,105,136,0.0,668.0
229,60,105,114,0.0,668.0
230,61,101,110,0.0,668.0
230,64,105,124,0.0,668.0
225,63,103,118,0.0,668.0
223,65,107,125,0.0,668.0
231,65,106,129,0.0,668.0
237,60,99,107,0.0,668.0
230,59,104,110,0.0,668.0
227,61,106,124,0.0,668.0
241,61,100,112,0.0,668.0
231,62,100,106,0.0,668.0
230,62,103,120,0.0,668.0
232,64,102,119,0.0,668.0
238,63,102,117,0.0,668.0
229,65,103,130,0.0,668.0
227,63,104,125,0.0,668.0
233,63,103,126,0.0,668.0
234,64,102,127,0.0,668.0
232,63,102,124,0.0,668.0
239,66,102,133,0.0,668.0
231,65,103,119,0.0,668.0
225,63,106,126,0.0,668.0
229,61,96,113,0.0,668.0
228,61,100,117,0.0,668.0
227,64,101,119,0.0,668.0
229,62,100,116,0.0,668.0
229,65,101,124,0.0,668.0
233,66,102,130,0.0,668.0
232,62,98,110,0.0,668.0
225,63,101,120,0.0,668.0
225,58,104,107,0.0,668.0
219,64,103,120,0.0,668.0
228,60,102,115,0.0,668.0
226,63,102,112,0.0,668.0
228,64,104,123,0.0,668.0
232,64,102,129,0.0,668.0
232,64,102,130,0.0,668.0
238,60,102,118,0.0,668.0
226,62,101,112,0.0,668.0
231,62,106,118,0.0,668.0
231,61,102,115,0.0,668.0
224,61,106,122,0.0,668.0
225,63,100,116,0.0,668.0
226,62,99,115,0.0,668.0
225,61,100,110,0.0,668.0
236,65,97,119,0.0,668.0
